PARK_NAME,AREA_HECTARES,Latitude,Longitude
RIVER HEIGHTS VALLEY,3.999,43.778792,-79.676289
ROEHAMPTON PARK,1.937,43.661422,-79.742689
ROYAL SALISBURY PARKETTE,0.587,43.712803,-79.759008
FARAD POND,1.602,43.772965,-79.71269
NEWTON PARK,1.551,43.698664,-79.770603
BECK VALLEY,8.649,43.768682,-79.742835
TRUDELLE PARKETTE,1.558,43.68897,-79.825672
ASHURST PARK,3.28,43.715894,-79.766156
JACKSONVILLE PARK,0.528,43.785846,-79.734761
HAZELWOOD PARK NORTH,0.995,43.717624,-79.735451
KANEFF PARK,1.917,43.664574,-79.739972
CARUSO PARK,1.006,43.669778,-79.742827
NORTHAMPTON PARK,6.211,43.72581,-79.749301
WALLEYE CHANNEL,0.972,43.674506,-79.700963
STEELWELL CHANNEL SOUTH ,1.382,43.676666,-79.698498
BARRY POND,1.943,43.713115,-79.819029
FENTON VALLEY,20.321,43.798149,-79.710172
LORENZO PARK,0.503,43.751351,-79.780029
PURPLE LILAC PARK,0.306,43.780036,-79.690534
SPRINGDALE FOREST,13.386,43.743529,-79.752744
BLACK FOREST PARK SOUTH,3.804,43.746513,-79.753842
COVENTRY CHANNEL,1.953,43.746461,-79.75372
CRYSTALVIEW PARK,0.803,43.767796,-79.664136
UPPER RIDGE VISTA,0.258,43.771156,-79.702606
BRAMPTON FIRE TRAINING,2.085,43.689333,-79.719638
MAITLAND PARK NORTH,5.716,43.733134,-79.743272
MANSWOOD PARK,2.428,43.760903,-79.65224
CANTRILL PARK,3.488,43.732985,-79.803064
SAVANNAH SPARROW WOODS,10.609,43.774223,-79.67935
MAJOR OAKS PARK,5.764,43.715489,-79.754847
KOOTENAY VISTA,0.03,43.769032,-79.742502
ROSEPAC PARK,1.33,43.716986,-79.780429
EBENEZER RECREATION CENTRE,0.302,43.772004,-79.664099
GARDEN SQUARE,0.151,43.686281,-79.760078
BRAMALEA LTD COMMUNITY PARK,15.482,43.719102,-79.750902
MANITOU PARK,11.768,43.733608,-79.748979
MANSWOOD PARK SOUTH,2.249,43.757508,-79.652423
TORBRAM SANDALWOOD COMMUNITY PARK,13.118,43.764979,-79.746382
LOWES AVENUE PARKETTE NORTH,0.162,43.690402,-79.772014
LOWES AVENUE PARKETTE SOUTH,0.178,43.689573,-79.769515
HEREFORD POND,3.778,43.619673,-79.766996
GREENMOUNT PARK SOUTH,1.672,43.730491,-79.712696
SOFTNEEDLE PARKETTE,0.252,43.738866,-79.755327
ICEBOX CHANNEL EAST,2.335,43.68485,-79.700604
MASSEY PARK,5.378,43.737432,-79.744652
NORTON PLACE PARK,15.08,43.709104,-79.729635
NUFFIELD PARK,4.193,43.726079,-79.757154
MAINS CREEK CHANNEL EAST,1.177,43.690045,-79.784972
MAINS CREEK CHANNEL WEST,1.512,43.68877,-79.786222
BREADNER WAY EAST,0.639,43.68646,-79.827974
BREADNER WAY WEST,0.251,43.685475,-79.829073
GATEWAY CHANNEL,1.592,43.717586,-79.68063
SORBY POND,2.884,43.680008,-79.816769
KENNETH CHISHOLM POND,1.362,43.687729,-79.823489
RIDGEHILL PARK,14.51,43.669774,-79.75737
LASCELLES PK CENTRAL,1.654,43.721572,-79.739526
FAIRWAY POND,1.029,43.721318,-79.772832
ANDREW MCCANDLESS PARK,16.304,43.667074,-79.822601
SUMMER VALLEY PARKETTE,0.881,43.737518,-79.82305
JORDAN PARK,3.473,43.742261,-79.727215
GREENMOUNT PARK NORTH,2.254,43.732334,-79.714449
WHITE SPRUCE VALLEY,9.277,43.733631,-79.782103
SHUTER PARKETTE,0.115,43.638909,-79.760198
SHEFFIELD PARK EAST,0.408,43.708426,-79.775113
PATRICK TRAINOR PARK,0.5,43.808988,-79.731297
EVERGLADE VALLEY,34,43.806733,-79.715961
CONSERVATION DRIVE PARK,50.748,43.732134,-79.810457
RAY LAWSON VALLEY,14.71,43.656275,-79.731164
GORE MEADOWS COMMUNITY PARK - WEST,43.753,43.786192,-79.700935
SUMMER VALLEY POND,1.631,43.738244,-79.821881
HAZELWOOD PARKETTE,0.141,43.716999,-79.732705
SNOWCAP PARK,1.925,43.763505,-79.730919
LORENVILLE PARK,0.792,43.666094,-79.806456
MICHAEL MURPHY PARK,2.025,43.812019,-79.727708
MOUNT PLEASANT VILLAGE COMMUNITY CENTRE AND LIBRARY,0.293,43.67591,-79.823504
WEGENAST VALLEY,8.343,43.712037,-79.786798
MALDIVES CHANNEL,2.227,43.77746,-79.735734
GORE MEADOWS COMMUNITY PARK - EAST,49.242,43.792178,-79.691962
FITZPATRICK VALLEY,5.105,43.785876,-79.687137
MILLSTONE WALK,1.82,43.647583,-79.747653
ICELANDIC CHANNEL,1.888,43.723844,-79.83467
WHEATFIELD VALLEY,12.92,43.775591,-79.745674
ICELANDIC CHANNEL NORTH,2.224,43.722532,-79.832795
ODLUM VALLEY,6.125,43.783193,-79.752059
DIXIE SANDALWOOD PARK,11.782,43.741363,-79.768637
WEXFORD PARK,10.162,43.714799,-79.789991
CAMDEN PARK WEST,0.296,43.719484,-79.790451
HICKORY WOOD PARK,5.572,43.647955,-79.742037
LEWIS POND,2.53,43.635539,-79.757162
EMERICK CHANNEL,1.911,43.65994,-79.800453
JENNINGS PARK,0.819,43.671254,-79.790843
DAVENFIELD POND,1.836,43.773377,-79.658286
BURNT ELM PARK,2.085,43.719285,-79.819286
HUTCHINSON POND,2.005,43.700789,-79.831321
FIGG VALLEY,7.031,43.765502,-79.714469
HILLDALE PARK SOUTH,2.615,43.727803,-79.729585
GOLDCREST PARK,3.2,43.730664,-79.719945
COLT PARKETTE,0.05,43.773327,-79.735038
CAPTAIN FRANK CHANNEL NORTH,1.749,43.750938,-79.781947
CAPTAIN FRANK CHANNEL,5.153,43.749287,-79.777815
TRANS CANADA PIPELINE,0.962,43.725428,-79.785377
VALLEYDOWN PARK,1.702,43.710993,-79.776398
POTTERS WHEEL POND,1.224,43.709845,-79.814869
ICEBOX CHANNEL WEST,1.62,43.685108,-79.700717
TUFFLEY POND,3.227,43.717314,-79.824293
HACKETT VALLEY,10.614,43.771027,-79.735708
EARNSCLIFFE PARK,16.276,43.724394,-79.7029
LARGE CHANNEL,9.185,43.713063,-79.821712
CAMDEN PARK EAST,9.448,43.718861,-79.794606
LOAFER'S LAKE PARK ISLAND,0.214,43.723265,-79.800578
CANTRILL PARK NORTH,0.31,43.73446,-79.804211
DIXIE HWY 407 PARK,40.039,43.688551,-79.685744
BURTON PARK,2.547,43.695415,-79.779661
MANORCREST PARK,2.88,43.735889,-79.738673
GLENFOREST PARK SOUTH,2.761,43.730028,-79.719588
ESKER VALLEY,8.207,43.770225,-79.758541
TEMPLETON VALLEY,1.142,43.782713,-79.67962
BURRELLS HOLLOW,29.905,43.772931,-79.718194
SPARROW PARK,0.941,43.651818,-79.722265
SOUTH FLETCHERS CREEK PARK,8.533,43.664385,-79.750982
KEN PARK,13.504,43.741111,-79.808042
HEATHERGLEN PARK,0.869,43.660618,-79.780035
FENWICK PARK,2.823,43.733961,-79.77574
DAVID LAWRENCE POND,4.814,43.670402,-79.808205
NORMAN PRICES POND,2.237,43.673801,-79.804714
TRACEY CHANNEL EAST,1.094,43.745328,-79.690181
TRACEY CHANNEL WEST,1.095,43.74447,-79.692488
NEWCASTLE PARK,2.222,43.723426,-79.747016
CHESS PARK,0.034,43.686247,-79.760124
KUEHNE PARK NORTH,4.304,43.698126,-79.692046
RUNIANS PARK,0.531,43.757384,-79.782079
ROYCE PARK,5.986,43.675906,-79.76685
JOHN ERVINE VALLEY,5.314,43.797535,-79.750824
BLUE OAK PARK,5.986,43.744394,-79.762166
RM WELLS PARK,0.538,43.779104,-79.749275
JOSE MANUEL CARDOSO PARKETTE,0.784,43.739864,-79.737083
DANIEL BOYLE PARK,0.502,43.810943,-79.721048
CARLETON CHANNEL,0.974,43.706893,-79.723316
FALLINGDALE PARK,4.896,43.725116,-79.714397
WORTHINGTON PARK,1.936,43.68479,-79.819555
LAKE OF DREAMS,4.018,43.755668,-79.731213
SPEARHEAD VALLEY,2.496,43.793177,-79.742596
WILMONT POND,2.245,43.677956,-79.810772
HEARTVIEW MARSH,2.035,43.731187,-79.772455
SKYVALLEY PARK,0.215,43.78031,-79.678944
JORDANAS RAINBOW PARK,0.608,43.799207,-79.671604
KUEHNE PARK SOUTH,5.356,43.697638,-79.69184
TUMBLEWEED PARKETTE,0.556,43.644768,-79.733139
REED PARKETTE,0.413,43.752911,-79.763924
SID MANSER PARK,2.91,43.631785,-79.764334
FRED KLINE PARK,8.274,43.686418,-79.781317
CASTLEMORE PARK,4.463,43.786695,-79.689362
STEPHEN LLEWELLYN RECREATIONAL TRAIL EAST,7.355,43.765658,-79.734057
KNIGHTSBRIDGE PARK SOUTH,1.021,43.717577,-79.715855
ARMAGH PARK,0.192,43.679941,-79.826363
JERSEY JOHN PARK,0.179,43.677075,-79.8277
MOUNT PLEASANT SQUARE,0.704,43.675956,-79.823513
DAMATTA PARK,0.849,43.672005,-79.811846
BACH PARK,1.119,43.661857,-79.749588
BOB REID PARK AND RECREATIONAL TRAIL,0.714,43.664899,-79.728731
PRINCESS POINT POND EAST,2.906,43.686193,-79.839503
GEORGE T WARD VISTA,0.024,43.767966,-79.689895
TRANS CANADA PIPELINE WEST,0.642,43.672085,-79.801256
HENRY VERSCHUREN PARK,0.361,43.667376,-79.775845
DAVID HEGGIE POND,3.663,43.657697,-79.802659
MOUNTAINASH PARK WEST,0.071,43.767535,-79.736627
STEPHEN LLEWELLYN RECREATIONAL TRAIL SOUTH,0.185,43.763018,-79.742429
JAMES WILLIAM HEWSON PARK,2.898,43.757191,-79.748774
CHINGUACOUSY WELLNESS CENTRE,2.453,43.749327,-79.741361
MAJOR GEORGE WRIGHT VISTA,0.152,43.70079,-79.811941
LAKELANDS PARK,10.161,43.71906,-79.764491
FLETCHERS POND SOUTH,0.718,43.693722,-79.801422
JAMES SCOTT POND,2.319,43.676451,-79.800853
FLETCHERS MEADOW POND,1.773,43.686071,-79.810006
STEPHEN LLEWELLYN RECREATIONAL TRAIL,10.383,43.763736,-79.743722
MOUNTAINASH PARK E,1.625,43.767643,-79.736601
MANSWOOD PARK NORTH,0.22,43.75813,-79.656396
KORETZ PARK,1.448,43.70011,-79.789736
CEDAR LAKE POND,1.109,43.638605,-79.74179
EDWARD AND HARRY DALE POND,0.659,43.700571,-79.790198
AURORA PARKETTE,0.227,43.716877,-79.799943
FLETCHERS CREEK POND,0.691,43.69474,-79.803425
GOURLEY POND,3.606,43.715688,-79.826481
SUNFOREST POND,0.332,43.71903,-79.797064
VISION CHANNEL,3.185,43.774804,-79.735696
LOAFERS LAKE PARK,16.794,43.724938,-79.80289
TORBRAM PARK,1.933,43.717327,-79.68186
FATHER EUGENE OREILLY PARK,0.501,43.816165,-79.727448
VALLEYBROOK PARK,19.579,43.705933,-79.775981
BRAMPTON TRANSIT CLARK FACILITY,3.495,43.706876,-79.723496
CCA EBENEZER RESOURCE MANAGEMENT TRACT,198.619,43.759787,-79.681714
PRINCESS POINT POND,3.426,43.686438,-79.844452
COLONEL WILLIAM CLAUS VALLEY SOUTH,16.197,43.779948,-79.725458
PEEL VILLAGE PARK,3.934,43.676742,-79.735108
HESP VALLEY,10.179,43.701285,-79.818987
LAIDLAW PARK,0.848,43.66338,-79.82021
ORNSTOCK POND EAST,4.653,43.627504,-79.780651
ALLAN KERBEL POND,1.066,43.704362,-79.778298
ALLAN KERBEL PARK,3.332,43.70312,-79.779043
NORTH MILL PARKETTE,0.249,43.689325,-79.771803
VICTORIA PARK EAST PATHWAY,0.375,43.707553,-79.697228
LENNON POND,1.014,43.642584,-79.743958
JIM IRONS PARK,1.979,43.698903,-79.857924
MAJOR GEORGE WRIGHT VALLEY NORTH,2.199,43.649774,-79.767451
SNURETOWN POND EAST,4.45,43.652125,-79.775454
SNURETOWN VALLEY NORTH,10.295,43.651398,-79.776297
KW MULLINGS CHANNEL,9.921,43.676326,-79.836746
HELIOTROPE POND ,4.042,43.668903,-79.789671
TEXTILE MILL VALLEY,7.995,43.65618,-79.773171
TEXTILE MILL POND,1.603,43.656632,-79.775777
CHRYSANTHEMUM POND,1.495,43.778921,-79.692704
WOLF COUNTRY POND,2.66,43.662148,-79.811724
WOLF COUNTRY VALLEY,14.14,43.660922,-79.809995
DUNCAN FOSTER POND WEST,1.577,43.786347,-79.673137
DUNCAN FOSTER VALLEY SOUTH,17.792,43.787808,-79.673049
DON BEATTY POND,1.324,43.792072,-79.67844
DON BEATTY VALLEY,12.392,43.795086,-79.679728
CHRISTOPHER STORK POND,4.477,43.66302,-79.792271
SNURETOWN POND WEST,1.923,43.649804,-79.774786
HERZIG POND,1.94,43.797649,-79.667881
HERZIG VALLEY,6.465,43.800099,-79.669713
WESTCREEK CHANNEL,1.799,43.675398,-79.700892
MINNIE BRIGHTWELL POND,1.24,43.801838,-79.728843
BILL BETTRIDGE POND,4.828,43.692095,-79.852205
HELIOTROPE CHANNEL,3.089,43.668581,-79.791736
KIDD VALLEY NORTH,3.896,43.781059,-79.665555
HOLMES CHANNEL,6.208,43.70355,-79.809408
LUNDY POND,1.463,43.682177,-79.804951
ORNSTOCK POND,4.723,43.625421,-79.780497
SAM RAYSON VALLEY,16.571,43.673681,-79.711047
