,PARK_NAME,PARK_TYPE,SUB_TYPE,AREA_HECTARES,ACCESS_POINTS
198,MALTA PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.081,MALTA AV
199,SWEETWOOD PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.044000000000000004,SWEETWOOD CIR
200,CARNFORTH PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.252,"CARNFORTH DR, RAMSGATE CRT, BOREHAM CIR, CAIRNMORE CRT"
201,BERRYMAN CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,0.18899999999999997,SUNPINO CRES
202,FIDDLERS PARKETTE,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.57,"FIDDLERS GREEN DR, FREDOM GATE, HONEYMOON DR, FIDELITY AVE"
203,CROWN VICTORIA PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.81,"CADILLAC CRES, CROWN VICTORIA DR, EL CAMINO WAY"
204,MARY GOODWILLIE YOUNG PARK,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.8270000000000001,"LEVER GATE, WILLIAMSON DR, SUGAR HILL DR"
205,SHAIN VALLEY,ENVIRONMENTAL PARKS,VALLEY,0.593,"EARLSBRIDGE BLVD, COTTONTAIL RD, CIPRAIANO CRT"
206,DEARBOURNE PARK,NEIGHBOURHOOD PARKS,LOCAL,4.699,"DEARBOURNE BLVD, DARTNELL PL, DUNBARTON CRES, DRUM OAK CRES, DORSET DR"
207,WATCHMAN PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.446,"NEWCROFT RD, WATCHMAN RD"
208,GIFFEN FAMILY PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.2409999999999999,"FROST WEED CRT, LARKSPUR RD, MAIDENGRASS RD"
209,CURTIS PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.47600000000000003,CURTIS DR
210,WOODVIEW PARK,NEIGHBOURHOOD PARKS,LOCAL,4.752,"HAROLD ST, ROSEVILLE DR, CORBY CRES"
211,CHUDLEIGH PARK,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.665,"FANDANGO DR, DENCOR ST, OAKDENE ST, CLYDE RD"
212,BONNIE BRAES PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.66,"CREDITVIEW RD, LLOYD SANDERSON DR, BONNIE BRAES DR"
213,WILLOW PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.14300000000000002,"CENTRE ST N, VODDEN ST E"
214,HARRY A SHIELDS PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.418,"RIVERBANK RD, SANDYSHORES DR"
215,GLADYS AND GEORGE GRAY PARK,NEIGHBOURHOOD PARKS,TOWN SQUARE,1.031,"ABITIBI LAKE DR, BON ECHO TRAIL, MOIRA CREEK DR, OPENBAY GDNS"
216,LAUDERHILL VALLEY,ENVIRONMENTAL PARKS,VALLEY,5.422000000000001,"AIRPORT RD, COUNTRYSIDE DR"
217,DORCHESTER PARK,NEIGHBOURHOOD PARKS,PARKETTE,2.592,"DORCHESTER DR, DRAYTON CR, DONALADA PL, DEVLIN PL"
218,FAIRGLEN PARK,ENVIRONMENTAL PARKS,VALLEY,0.945,FAIRGLEN AV
219,THORNDALE PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.877,"EASTBROOK WAY, THORNDALE ROAD, MAUVE DR"
220,SESQUICENTENNIAL PARK,CITY PARKS,CITY PARK,39.045,"BRAMALEA RD, COUNTRYSIDE DR"
221,KINGFISHER PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.482,"KINGFISHER CRT, KENNEDY RD N, KENPARK AVE"
222,FERRI PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.295,"FERRI CRES, LAWNVIEW CRT, BRAIDWOOD LAKE"
223,BALMORAL PARK,NEIGHBOURHOOD PARKS,LOCAL,2.718,"BALMORAL DR, BENTWOOD DR, AVONDALE BLVD"
224,DESERT GARDEN PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.778,"PADBURY TRAIL, MUSCOVY DR"
225,ROBERT POST PARK,NEIGHBOURHOOD PARKS,LOCAL,1.94,"VETERANS DR, BUICK BLVD, MONUMENT TRAIL, GASTONIA RD"
226,GREENBRIAR PARK NORTH,ENVIRONMENTAL PARKS,LINK,0.677,"WILLIAMS PKWY E, GRAND VALLEY DR"
227,PEEL VILLAGE GOLF COURSE,CITY PARKS,CITY PARK,31.403000000000002,HARTFORD TRAIL
228,FRANCIS H TAYLOR PARK,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.752,ASHBY FIELDS RD
229,MOODY FAMILY PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.8370000000000001,"HASKER RD,KILLICK RD, ROBERT PARKINSON DR"
230,DONNELLY EAST PARK,NEIGHBOURHOOD PARKS,LOCAL,1.018,SANDALWOOD PKWY E
231,COURTLEIGH PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.057999999999999996,"COURTLEIGH SQ, SANDALWOOD PKY E"
232,KEE VALLEY,ENVIRONMENTAL PARKS,VALLEY,8.384,"POLONIA AVE, TATRA CRES"
233,FOLKSTONE PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.128,"CLARK BLVD, FOLKSTONE CRES"
234,WALKER CHANNEL EAST,ENVIRONMENTAL PARKS,CHANNEL,1.046,"WALKER DR, WOODSLEA RD"
235,FAIRHILL PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.763,"ROXTON CRES, CHESTERMERE CRES, SPENCER DR, FAIRHILL AVE"
236,SIMPSON POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.148,"HURONTARIO ST, SANDALWOOD PKY W"
237,VIVIANS WOOD RECREATIONAL TRAIL,ENVIRONMENTAL PARKS,LINK,0.665,"MCCLEAVE CRES, SUNLEY CRES, WHITE TAIL CRES, RIPLEY CRES"
238,CHRISTIE PARK,NEIGHBOURHOOD PARKS,VEST POCKET,0.599,"IRIS CRES, KENPARK AVE, CHRISTIE DR, CONSERVATION DR"
239,FINLEY CHANNEL SOUTH,ENVIRONMENTAL PARKS,CHANNEL,0.963,FINLEY RD
240,FINLEY CHANNEL NORTH,ENVIRONMENTAL PARKS,CHANNEL,1.36,"GLIDDEN RD, FINLEY RD"
241,TITAN CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,1.9409999999999998,"WEST DR, TITAN RD"
242,WHITEWASH PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,1.374,"CULTURE CRES, WHITEWASH WAY, LOGGERS LANE"
243,ETHELREDA CHANNEL,ENVIRONMENTAL PARKS,VALLEY,2.202,
244,EARL COOK PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.79,FAIRHILL AVE
245,JP HUTTON PARK,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.853,"TIDELAND DR, MADRONNA GDNS, PAULINE CRES, CARNAC GDNS"
246,BELLCREST PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.563,"GEORGE ROBINSON DR, BELLCREST RD"
247,KEIRSTEAD PARK,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.642,"KEIRSTEAD TRAIL, FAWSON COVE WAY, VINCENT ST"
248,OMEGA PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.17300000000000001,"OMEGA SQ, COURTLEIGH SQ"
249,CRESTHAVEN PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.012,CRESTHAVEN RD
250,MCKINNEY PARKETTE,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.79,"HEARTLEAF CRES, SHELLBAN GDNS, BLUELEAF TRAIL,CATTAIL GATE, PEACHLEAF CRES, MCKINNEY GDNS"
251,HAZELWOOD PARK SOUTH,ENVIRONMENTAL PARKS,VALLEY,1.797,"HAZELWOOD DR,LOCKSLEY PL, HAZELWOOD CRT, HILLSIDE DR"
252,TWIN FALLS PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.8009999999999999,"TWIN FALLS RD, MERRICKVILLE WAY, SHEDIAC RD"
253,ANDERSON FAMILY PARK,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.741,"2 WATSONBROOK DR, 2 ABITIBI DR,"
254,SALISBURY CIRCLE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.539,SALISBURY CIR
255,RUSHMORE PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.295,"RUSHMORE CRES, SANDALWOOD PKY E, BERKSHIRE SQ"
256,BULL VALLEY,ENVIRONMENTAL PARKS,VALLEY,4.794,"FATHER TOBIN RD, TORBRAM RD"
257,LOCUSTWOOD PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.124,"VODDEN ST E, LOCUSTWOOD CRT"
258,LOWER THAMES PARK,NEIGHBOURHOOD PARKS,LOCAL,0.5579999999999999,LOWER THAMES DR
259,DUNCAN FOSTER POND SOUTH,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,3.736,
260,ENVIRONMENTAL PARK 665,ENVIRONMENTAL PARKS,OPEN SPACE,0.203,"CONSERVATION DR, AXMINSTER RD"
261,LILLIE ROBERTS WOODLOT,ENVIRONMENTAL PARKS,WOODLOT,1.298,"MOUNT ROYAL CIR, LOUVAN DR"
262,MARTYNIUK PARK,ENVIRONMENTAL PARKS,OPEN SPACE,0.5529999999999999,MICHELANGELO BLVD
263,WALTER WATSON VISTA,ENVIRONMENTAL PARKS,VISTA,0.083,HUNTSPOINT DR
264,LARGE CHANNEL NORTH,ENVIRONMENTAL PARKS,CHANNEL,0.67,"MCLAUGHLIN RD, EARLSBRIDGE BLVD"
265,LAURELCREST PARK SOUTH,ENVIRONMENTAL PARKS,WOODLOT,1.252,"LAMBETH ST, QUEEN ST E"
266,CHRYSANTHEMUM VALLEY,ENVIRONMENTAL PARKS,VALLEY,22.829,
267,JOHNSTONE PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.72,TIANALEE CRES
268,MATTHEW CATION PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.8170000000000001,"CLOVERCREST DR, EDENVALLEY RD, EDENBROOK HILL DR"
269,GOLD PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,1.091,"GOLD PARK PL, SIR DAVID PL"
270,STILLMAN PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.8059999999999999,"BEGONIA CRES, STILLMAN DR"
271,LOLA POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.909,
272,CHINGUACOUSY LIONS CLUB WATER TOWER PARK,NEIGHBOURHOOD PARKS,LOCAL,2.363,"MAYFIELD RD, CRESTHAVEN RD"
273,GALVESTON CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,1.631,"WANLESS DR, SAMS CRES, GALVERSTON CRES, JOYWILL,CHINGAUCOUSY"
274,DEXFIELD PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.833,BURNLEY PL
275,BARBREH BROWN PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.7909999999999999,"LEPARC RD, DARREN RD"
276,NATIVE LANDING PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,1.023,NATIVE LANDING
277,GLENFOREST PARK NORTH,ENVIRONMENTAL PARKS,LINK,0.738,"GLENFOREST RD, WILLIAMS PKY, GOLD PINE CRT, GOLD FINCH CRT"
278,JUDGE SCOTT VALLEY,ENVIRONMENTAL PARKS,VALLEY,31.092,"BELLINI AV, MICHELANGELO BV"
279,LASCELLES PARK SOUTH,ENVIRONMENTAL PARKS,VALLEY,0.41200000000000003,"LEANDER ST, LAKEHURST ST, LORD SIMCOE, HOWDEN BLVD"
280,ALEXANDER MCVEAN VISTA,ENVIRONMENTAL PARKS,VISTA,0.07,VALLEYSIDE TRAIL
281,WJ CLIFFORD PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.759,"PEAK DR, SPICEBUSH"
282,CHRISTOPHER STORK WOODS,ENVIRONMENTAL PARKS,WOODLOT,6.465,
283,RATHCLIFFE WOODS,ENVIRONMENTAL PARKS,WOODLOT,0.96,BLUE JAY AVE
284,ABRAHAM BLOCK POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,0.861,
285,WOLF COUNTRY VALLEY SOUTH,ENVIRONMENTAL PARKS,VALLEY,15.764000000000001,
286,EDDITHA VALLEY,ENVIRONMENTAL PARKS,VALLEY,0.899,
287,EB GRAHAM VALLEY,ENVIRONMENTAL PARKS,VALLEY,13.345,"STANLEY CARBERRY DR, MERRYDALE CRT, DALLA RIVA CRT, GOREWAY DR"
288,BLUE JAY PARK,ENVIRONMENTAL PARKS,VALLEY,9.937000000000001,"COUNTRYSIDE DR, MCVEAN DR, BLUE JAY AV"
289,BRAMPTON-MARIKINA FRIENDSHIP PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.812,"VANDERBRINK DR, SUGARCANE AVE, SERENCES WAY"
290,HARTLEY CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,3.397,"EARLSBRIDGE BLVD, WANLESS DR, MISTYCREEK CRES, TIMBERGLADE DR, CLARION RD"
291,HAWKE CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,1.6840000000000002,"BELLEVILLE DR, SORBONNE CRT, ST HUBERT DR,EIFFEL BLVD"
292,LAKE LOUISE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.81,"WILLICK PL, WILMONT CRT, LAKE LOUISE DR, DUNLOP CRT"
293,BUICK PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.804,"BRISDALE DR, BUICK BLVD"
294,NORMAN PRICES CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,0.81,JAMES POTTER RD
295,COLONEL WILLIAM CLAUS VALLEY,ENVIRONMENTAL PARKS,VALLEY,16.066,QUINCY PL
296,JESSE PERRY PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.5429999999999999,"BONNIE BRAES DR, CHESTERWOOD CRES, MIDNIGHT LANE"
297,PEARSON PARK,ENVIRONMENTAL PARKS,WOODLOT,2.294,"CHAROLAIS BV, TORRANCE WOODS, PEARSON RD"
298,BEACONSFIELD PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.469,"BEACONSFIELD AV, CHINGUACOUSY RD"
299,LYNCH-PETRONI PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.342,"HOWDEN ST, VODDEN RD, LIVERY WAY, LINDEN CRES"
300,HOLLOWTREE PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.414,"WILLIAMS PKWY, ASHFORD CRT, CARTER DR"
301,LILLINGTON CHANNEL SOUTH,ENVIRONMENTAL PARKS,CHANNEL,0.278,HILLSIDE DR
302,PARR LAKE NORTH PARK,ENVIRONMENTAL PARKS,OPEN SPACE,4.251,"LA FRANCE RD,VODDEN ST E, LEEWARD DR, LAKERIDGE DR"
303,BROOKBANK PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.36,BROOKBANK CRT
304,PRINCESS POINT VALLEY,ENVIRONMENTAL PARKS,VALLEY,10.433,
305,EDGEBROOKE PARK,ENVIRONMENTAL PARKS,LINK,0.8440000000000001,"BALMORAL DR, EARNSCLIFFE CIR, EDGEBROOK CR, EPSOM DOWNS DR"
306,CLAYPINE PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.122,"CLAYPINE TRAIL, CENTRE ST N, BLACKTHORN LANE"
307,BLUE LAKE PARKETTE,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.768,"OLYMPIA CR, MAROTTA AV, BLUE LAKE AV"
308,FLETCHERS PARKETTE,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.774,"SPRINGHURST AV, NAVY CR"
309,WILDFIELD PARK - ST JOHN BOCCE,ENVIRONMENTAL PARKS,VALLEY,8.429,"ST. JOHNS RD, BEAMISH CT, COUNTRYSIDE DR"
310,COSMO VISTA,ENVIRONMENTAL PARKS,VISTA,0.044000000000000004,COSMO CRT
311,LUCINDA PARK,ENVIRONMENTAL PARKS,VALLEY,0.495,LUCINDA CT
312,FLOWER CITY COMMUNITY CAMPUS,CITY PARKS,CITY SPORTS PARK,32.946,"MCLAUGHLIN RD S, QUEEN ST W"
313,GROVELAND PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.047,GROVELAND CRES
314,VICTORIA PARK,COMMUNITY PARKS,COMMUNITY PARK,7.994,"VICTORIA CR, AVONDALE BV"
315,VANIER PARK,ENVIRONMENTAL PARKS,OPEN SPACE,3.963,"ELGIN DR, TORRANCE WOODS"
316,JOE ASHTON POND SOUTH,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,2.458,CREDITVIEW RD
317,SUMMER VALLEY,ENVIRONMENTAL PARKS,VALLEY,14.51,"SUMMER VALLEY DR, MAYFIELD RD"
318,DIXIE PARKETTE,NEIGHBOURHOOD PARKS,VEST POCKET,0.534,"BOVAIRD DR E, NEWBURY CRES"
319,WINDFLOWER VISTA,ENVIRONMENTAL PARKS,VISTA,0.127,VALLEYCREEK DR
320,"ARTS, CULTURE AND THEATRE DIVISION",OPERATIONS/ADMINISTRATION FACILITIES,OPERATIONS/ADMINISTRATION FACILITY,1.959,"ORENDA RD, ORENDA RD"
321,TARA PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.718,MAIN ST N
322,SCOTT STREET PARKETTE,ENVIRONMENTAL PARKS,VALLEY,0.754,"SCOTT ST, CHURCH ST E"
323,PRAIRIE CREEK POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.2930000000000001,
324,CHECKERBERRY PARK WEST,ENVIRONMENTAL PARKS,LINK,0.07200000000000001,CHECKERBERRY CRES
325,MOOREHEAD PARK,NEIGHBOURHOOD PARKS,LOCAL,5.306,"MOOREHEAD CRES, RICHVALE DR S"
326,PEDDLE WOODLOT,ENVIRONMENTAL PARKS,WOODLOT,4.397,"BERRIES DR, SUGARHILL DR, RAMBLING OAK DR"
327,FLETCHERS CREEK VALLEY,ENVIRONMENTAL PARKS,VALLEY,10.905,"VALLEYPARK CRES, QUEEN ANNE DR, MONACO CRT, MARYCROFT CRT, QUEEN MARY DR, BOVAIRD DR"
328,IRONBLOCK PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.82,"WINDSWEPT TRAIL, VAN KIRK DR, IRON BLOCK DR"
329,NANCE HORWOOD VALLEY,ENVIRONMENTAL PARKS,VALLEY,23.151,
330,METCALFE HOLLOW,ENVIRONMENTAL PARKS,VALLEY,4.459,"MISTYMORNING DR, CASTLEMORE RD"
331,CRANBROOKE COURT,NEIGHBOURHOOD PARKS,LINK,0.027000000000000003,
332,JOE ASHTON VALLEY SOUTH,ENVIRONMENTAL PARKS,WETLAND,8.912,CREDITVIEW RD
333,HEART LAKE CONSERVATION AREA,CONSERVATION AUTHORITY-OWNED LANDS ,CONSERVATION AREA,147.786,
334,MALDIVES CHANNEL WEST,ENVIRONMENTAL PARKS,CHANNEL,0.258,WHITWELL DR
335,LEFLAR PARK,NEIGHBOURHOOD PARKS,LOCAL,0.727,"ELWIN RD, BASSETT CRES"
336,SCARLET TANAGER WOODS,ENVIRONMENTAL PARKS,WOODLOT,1.732,"VALLEYCREEK DR, COTTRELLE BLVD, SPRINGFOREST RD, HUNTSPOINT DR"
337,CHURCHVILLE PARK NORTH,ENVIRONMENTAL PARKS,CHANNEL,0.7340000000000001,"MARTIN S BLVD, VICTORIA ST"
338,CHURCHVILLE PARK SOUTH,ENVIRONMENTAL PARKS,CHANNEL,5.649,"MARTIN S BLVD, VICTORIA ST"
339,SHERIDAN WOODLANDS,ENVIRONMENTAL PARKS,OPEN SPACE,6.6739999999999995,"MORTON WY, DUGGAN DR, CHAROLAIS BV"
340,MORRIS KERBEL PARK,COMMUNITY PARKS,COMMUNITY PARK,11.341,"CONESTOGA DR, WESMORLAND AVE"
341,MILLSTONE PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.433,"MAVIS RD, STEELES AV W, MILLSTONE DR"
342,SANDALWOOD WORKS YARD,OPERATIONS/ADMINISTRATION FACILITIES,OPERATIONS/ADMINISTRATION FACILITY,19.287,"SANDALWOOD PKWY W, "
343,BOTTOMWOOD VALLEY,ENVIRONMENTAL PARKS,VALLEY,2.441,"CASTLEMORE RD, HUMBERWEST DR, BOTTOMWOOD ST, HERDWICK ST"
344,BRAMPTON SPORTS PARK,CITY PARKS,CITY SPORTS PARK,44.343999999999994,KENNEDY RD S
345,RIVERSTONE POND NORTH,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.023,
346,LILLIE ROBERTS PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.224,MOUNT ROYAL CIR
347,CENTURY GARDENS,COMMUNITY PARKS,COMMUNITY PARK,7.6979999999999995,"ARCHDEKIN DR, VODDEN ST E, FALLWAY RD"
348,ROSALEA PARK,CITY PARKS,CITY PARK,2.329,"CHURCH ST E, SCOTT ST"
349,GREAT LAKES PARK,NEIGHBOURHOOD PARKS,LOCAL,3.8939999999999997,"GREAT LAKES DR, PETER ROBERTSON BLVD, SAILWIND RD, PACIFIC WIND CRES"
350,KINGKNOLL PARK,NEIGHBOURHOOD PARKS,PARKETTE,1.665,"KINGKNOLL DR, WINDMILL BV"
351,BOXCAR CHANNEL NORTH,ENVIRONMENTAL PARKS,CHANNEL,0.8029999999999999,
352,PATRICK OLEARY PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.884,"DON MINAKER DR, RIVERSTONE DR, BALLYSHIRE DR"
353,JOSEPH LAWSON PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.772,SWALES CRES
354,DUGGAN PARK,COMMUNITY PARKS,COMMUNITY SPORTS PARK,9.049,"CENTRE ST N, VODDEN ST E"
355,INTERMODAL CHANNEL SOUTH,ENVIRONMENTAL PARKS,CHANNEL,2.929,INTERMODAL DR
356,BOTTOMWOOD PARK,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.863,"TRIPLE CROWN DR, EASTWAY ST, GASPE RD, BOTTOMWOOD ST"
357,BRISTOL WAY,ENVIRONMENTAL PARKS,LINK,0.647,"PENBRIDGE CIR, REDFINCH WAY"
358,SNURETOWN VALLEY SOUTH,ENVIRONMENTAL PARKS,VALLEY,7.962999999999999,
359,JAYFIELD PARK,ENVIRONMENTAL PARKS,VALLEY,2.205,"JAYFIELD RD, WILLIAMS PKY, TORBRAM RD, JILL CRES"
360,ALLOA POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,4.8839999999999995,
361,DAVENFIELD VALLEY,ENVIRONMENTAL PARKS,VALLEY,6.136,"EBENEZER RD, EBENEZER RD"
362,ARTHUR BROWN CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,1.0390000000000001,
363,MAHAFFY PARK,NEIGHBOURHOOD PARKS,LOCAL,0.769,JOHN M MICROSTATION SHAPE  
364,STEPHEN LLEWELLYN RECREATIONAL TRAIL WEST,ENVIRONMENTAL PARKS,VALLEY,6.032,"COBBLESTONE CT, TORBRAM RD, SANDALWOOD PY E, MINT LEAF BV"
365,STARLING VALLEY,ENVIRONMENTAL PARKS,VALLEY,0.976,"RYECROFT CRES,HESLOP CIR, BRAMALEA RD"
366,BUCKSAW POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,1.306,
367,CHESHAM PARKETTE,ENVIRONMENTAL PARKS,WETLAND,1.2890000000000001,"CHESHAM CT, LISMORE CT, TWEEDSMUIR CT"
368,CARLETON PARK,ENVIRONMENTAL PARKS,WOODLOT,4.904,"CLARK BV, CARLETON PL, FLORIBUNDA CR, DIXIE RD"
369,TREELINE POND,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,0.88,TREELINE BLVD
370,GORE VALLEY,ENVIRONMENTAL PARKS,VALLEY,5.205,"DON MINAKER DR, GORE VALLEY TRAIL, EASTVIEW GATE, COTTRELLE BLVD"
371,ELDORADO PARK,COMMUNITY PARKS,COMMUNITY PARK,21.666999999999998,CREDITVIEW RD
372,TILLACOUTRY PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.857,"ROBERT PARKINSON DR, TOLEDO LANE, FENCHURCH DR"
373,JAMES AND EDNA DAVIS PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.747,"SUGARBERRY DR, ROUNDSTONE DR, CRYSTAL GLEN CRES"
374,SIMON GRANT PONDS,STORMWATER MANAGEMENT PONDS,STORMWATER MANAGEMENT POND,6.542000000000001,INTERMODAL DR
375,SHERIDAN PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.386,"CHURCH ST E, SOPHIA ST, THORSBY CT"
376,BIRCHBANK PARK,ENVIRONMENTAL PARKS,VALLEY,1.5419999999999998,"BIRCHBANK RD, DIXIE RD"
377,SEAPINES PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.527,"SEAPINES ST, MOUNTAIN RIDGE RD"
378,THACKERAY VALLEY,ENVIRONMENTAL PARKS,VALLEY,3.569,"LORMEL GATE, MCLAUGHLIN RD N, SUNNYBROOK CRES, MARYCROFT CRT"
379,SCRIBNER PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.151,"SCRIBNER CRT, RICHVALE DR S, LAURIER CRT"
380,MAPLEHURST PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.26,"SPARKLETT CRES, RICHVALE DR S, MAPLEHURST SQ"
381,NOTRE DAME PARK,NEIGHBOURHOOD PARKS,LOCAL,0.78,RICHVALE DR S
382,HOCKLEY PATH PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.11599999999999999,"HOCKLEY PATH, WINTERFOLD DR"
383,STAFFORD WOODS,ENVIRONMENTAL PARKS,WOODLOT,5.1579999999999995,"CONSERVATION DR, SHADYWOOD RD, VOGUE CR, RIDELLE CT"
384,CHARTERS ROAD PARK,NEIGHBOURHOOD PARKS,VEST POCKET,0.413,"HANSEN RD N, VODDEN ST E, CHARTERS RD"
385,ROBWILL PARKETTE,NEIGHBOURHOOD PARKS,PARKETTE,0.2,"ROBWILL CT, CARBERRY CR"
386,SEABORN PARK,NEIGHBOURHOOD PARKS,LOCAL,1.725,"SEABORN RD, BARKWOOD CRT, HERKLEY DR"
387,BAYRIDGE PARK,NEIGHBOURHOOD PARKS,TOWN SQUARE,0.982,"BAYRIDGE DR, HORIZON ST, HAMMOCK"
388,ARTHUR SHAW CHANNEL,ENVIRONMENTAL PARKS,CHANNEL,3.2439999999999998,"EXECUTIVE CRT, SLED DOG RD, MOUNTAIN AS RD, TORBRAM RD"
389,MIDAIR CHANNEL,ENVIRONMENTAL PARKS,VALLEY,1.124,INTERMODAL DR
390,PICASSO PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.695,"OKLAHOMA DR, BURNSTOWN CIR"
391,BLACK FOREST PARK NORTH,NEIGHBOURHOOD PARKS,LOCAL,1.6740000000000002,BLACK FOREST DR
392,LUONGO PARK,NEIGHBOURHOOD PARKS,PARKETTE,0.7440000000000001,"ANNUAL CIR, ROYAL WEST DR, ADAMSVILLE RD"
393,CRESCENT HILL PARK,ENVIRONMENTAL PARKS,OPEN SPACE,6.638999999999999,"DIXIE RD, HOWDEN BLVD, MANSFIELD ST, HILLDALE CR, CRESCENT HILL DR S"
394,WATSON VALLEY,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CONSERVATION AREA,11.95,"CONSERVATION DR, TREMONT CT"
395,ELGIN WOODS PARK,CONSERVATION AUTHORITY-OWNED LANDS(CITY MAINTAINED),CONSERVATION AREA,5.505,"MAIN ST S, ELGIN DR, HODGSON ST, WESTGATE WK"
396,BILL BURRELL VALLEY,ENVIRONMENTAL PARKS,VALLEY,5.316,"BRAYDON BLVD, BLAKETON CRT, PALI DR"
